time,n_risk,n_event,n_censor,conditional_survival,survival
73,225,2,0,0.9911111111111112,0.7858345338386152
74,223,0,4,1,0.7858345338386152
75,219,0,1,1,0.7858345338386152
76,218,0,1,1,0.7858345338386152
77,217,1,0,0.9953917050691244,0.7822131765398198
78,216,1,1,0.9953703703703703,0.7785918192410244
79,214,0,5,1,0.7785918192410244
80,209,0,2,1,0.7785918192410244
82,207,1,1,0.9951690821256038,0.7748305061045943
83,205,0,3,1,0.7748305061045943
85,202,0,2,1,0.7748305061045943
86,200,0,1,1,0.7748305061045943
87,199,0,5,1,0.7748305061045943
88,194,1,4,0.9948453608247423,0.7708365344236427
90,189,2,2,0.9894179894179894,0.7626795340593714
91,185,0,2,1,0.7626795340593714
94,183,0,3,1,0.7626795340593714
95,180,1,4,0.9944444444444445,0.7584424255368193
96,175,1,0,0.9942857142857143,0.754108468819466
97,174,0,1,1,0.754108468819466
100,173,1,0,0.9942196531791907,0.7497494603291801
104,172,0,2,1,0.7497494603291801
105,170,0,1,1,0.7497494603291801
106,169,0,1,1,0.7497494603291801
107,168,0,6,1,0.7497494603291801
108,162,0,3,1,0.7497494603291801
109,159,1,2,0.9937106918238994,0.7450340549183048
110,156,0,1,1,0.7450340549183048
111,155,1,0,0.9935483870967742,0.7402273835962512
112,154,0,2,1,0.7402273835962512
113,152,1,1,0.993421052631579,0.7353574665989074
115,150,1,1,0.9933333333333333,0.7304550834882481
117,148,0,1,1,0.7304550834882481
118,147,0,1,1,0.7304550834882481
119,146,0,1,1,0.7304550834882481
120,145,0,4,1,0.7304550834882481
121,141,0,4,1,0.7304550834882481
123,137,0,1,1,0.7304550834882481
126,136,1,0,0.9926470588235294,0.725084090227305
129,135,1,0,0.9925925925925926,0.719713096966362
130,134,1,0,0.9925373134328358,0.714342103705419
134,133,0,1,1,0.714342103705419
135,132,1,0,0.9924242424242424,0.70893042110159
140,131,0,1,1,0.70893042110159
145,130,0,2,1,0.70893042110159
146,128,0,5,1,0.70893042110159
147,123,0,4,1,0.70893042110159
148,119,0,1,1,0.70893042110159
150,118,1,0,0.9915254237288136,0.7029225361770003
154,117,1,0,0.9914529914529915,0.6969146512524106
162,116,1,0,0.9913793103448276,0.6909067663278209
170,115,1,0,0.991304347826087,0.6848988814032312
171,114,1,0,0.9912280701754386,0.6788909964786414
172,113,2,1,0.9823008849557522,0.6668752266294619
174,110,0,3,1,0.6668752266294619
175,107,0,1,1,0.6668752266294619
180,106,2,1,0.9811320754716981,0.654292675183623
185,103,0,1,1,0.654292675183623
186,102,0,6,1,0.654292675183623
187,96,0,7,1,0.654292675183623
188,89,0,1,1,0.654292675183623
192,88,0,2,1,0.654292675183623
193,86,1,0,0.9883720930232558,0.6466846208210227
194,85,0,1,1,0.6466846208210227
195,84,0,1,1,0.6466846208210227
196,83,1,1,0.9879518072289156,0.6388932398472754
197,81,0,2,1,0.6388932398472754
198,79,1,0,0.9873417721518988,0.6308059836466771
200,78,0,1,1,0.6308059836466771
201,77,0,2,1,0.6308059836466771
205,75,0,3,1,0.6308059836466771
206,72,0,1,1,0.6308059836466771
207,71,1,2,0.9859154929577465,0.6219213923277098
208,68,0,1,1,0.6219213923277098
209,67,0,5,1,0.6219213923277098
210,62,0,2,1,0.6219213923277098
211,60,0,1,1,0.6219213923277098
212,59,0,3,1,0.6219213923277098
213,56,0,3,1,0.6219213923277098
214,53,1,4,0.9811320754716981,0.6101870264347342
215,48,0,4,1,0.6101870264347342
216,44,0,1,1,0.6101870264347342
220,43,0,1,1,0.6101870264347342
230,42,0,2,1,0.6101870264347342
231,40,0,1,1,0.6101870264347342
233,39,0,2,1,0.6101870264347342
235,37,1,0,0.972972972972973,0.5936954851797415
237,36,0,2,1,0.5936954851797415
240,34,0,1,1,0.5936954851797415
241,33,1,0,0.9696969696969697,0.5757047129015676
244,32,0,5,1,0.5757047129015676
245,27,0,5,1,0.5757047129015676
246,22,0,3,1,0.5757047129015676
247,19,0,1,1,0.5757047129015676
250,18,0,7,1,0.5757047129015676
256,11,0,2,1,0.5757047129015676
257,9,0,1,1,0.5757047129015676
258,8,0,2,1,0.5757047129015676
270,6,0,2,1,0.5757047129015676
271,4,0,1,1,0.5757047129015676
278,3,0,1,1,0.5757047129015676
280,2,0,1,1,0.5757047129015676
285,1,0,1,1,0.5757047129015676
